Convert susp_529...done	2.2915 mins
Convert susp_415...done	1.6721666666666666 mins
Convert susp_43...done	2.562 mins
Convert susp_316...done	3.7131666666666665 mins
Convert susp_559...done	5.117500000000001 mins
Convert susp_170...done	3.3834999999999997 mins
Convert susp_90...done	2.3265000000000002 mins
Convert susp_392...done	3.9231666666666665 mins
Convert susp_869...done	2.757166666666667 mins
Convert susp_438...done	3.1265 mins
Convert susp_477...done	3.7608333333333333 mins
Convert susp_375...done	4.717333333333333 mins
Convert susp_564...done	1.5403333333333333 mins
Convert susp_872...done	2.6511666666666667 mins
Convert susp_709...done	4.999333333333333 mins
Convert susp_698...done	3.0403333333333333 mins
Convert susp_720...done	1.903 mins
Convert susp_782...done	2.5228333333333333 mins
Convert susp_809...done	4.1466666666666665 mins
Convert susp_49...done	2.7388333333333335 mins
Convert susp_329...done	5.319833333333333 mins
Convert susp_937...done	5.952666666666667 mins
Convert susp_738...done	3.8645 mins
Convert susp_753...done	6.680666666666666 mins
Convert susp_677...done	4.954166666666667 mins
Convert susp_950...done	4.1845 mins
Convert susp_686...done	2.8571666666666666 mins
Convert susp_363...done	5.280666666666666 mins
Convert susp_777...done	4.083166666666667 mins
Convert susp_81...done	3.249 mins
Convert susp_764...done	5.510166666666667 mins
Convert susp_72...done	3.595666666666667 mins
Convert susp_573...done	4.394 mins
Convert susp_112...done	6.062833333333333 mins
Convert susp_248...done	4.1895 mins
Convert susp_18...done	6.157666666666667 mins
Convert susp_411...done	3.3385000000000002 mins
Convert susp_944...done	4.254166666666666 mins
Convert susp_850...done	3.921 mins
Convert susp_848...done	5.285166666666667 mins
Convert susp_159...done	6.894 mins
Convert susp_816...done	2.4444999999999997 mins
Convert susp_898...done	7.7155000000000005 mins
Convert susp_716...done	6.899500000000001 mins
Convert susp_106...done	5.762833333333333 mins
Convert susp_814...done	5.659666666666666 mins
Convert susp_107...done	4.7956666666666665 mins
Convert susp_434...done	4.9719999999999995 mins
Convert susp_694...done	4.8340000000000005 mins
Convert susp_664...done	2.667333333333333 mins
Convert susp_946...done	5.081166666666666 mins
Convert susp_800...done	4.712166666666667 mins
Convert susp_766...done	5.487166666666667 mins
Convert susp_643...done	4.4885 mins
Convert susp_935...done	3.5921666666666665 mins
Convert susp_882...done	3.0900000000000003 mins
Convert susp_587...done	4.145166666666666 mins
Convert susp_554...done	4.7295 mins
Convert susp_262...done	5.332333333333334 mins
Convert susp_875...done	4.4254999999999995 mins
Convert susp_497...done	3.8718333333333335 mins
Convert susp_296...done	4.231 mins
Convert susp_96...done	7.0565 mins
Convert susp_365...done	4.88 mins
Convert susp_635...done	3.893666666666667 mins
Convert susp_269...done	2.556166666666667 mins
Convert susp_359...done	3.6555000000000004 mins
Convert susp_610...done	1.4215000000000002 mins
Convert susp_490...done	3.5161666666666664 mins
Convert susp_279...done	3.5439999999999996 mins
Convert susp_855...done	2.758166666666667 mins
Convert susp_354...done	6.212166666666667 mins
Convert susp_633...done	3.9346666666666668 mins
Convert susp_993...done	4.681333333333333 mins
Convert susp_894...done	3.591833333333333 mins
Convert susp_37...done	3.2861666666666665 mins
Convert susp_992...done	3.4546666666666668 mins
Convert susp_913...done	5.215999999999999 mins
Convert susp_405...done	4.586833333333333 mins
Convert susp_628...done	2.0608333333333335 mins
Convert susp_78...done	2.2725 mins
Convert susp_625...done	6.5365 mins
Convert susp_1...done	5.069999999999999 mins
Convert susp_138...done	5.504166666666666 mins
Convert susp_623...done	1.3599999999999999 mins
Convert susp_510...done	1.4743333333333333 mins
Convert susp_89...done	2.8241666666666663 mins
Convert susp_80...done	3.2765 mins
Convert susp_845...done	3.523 mins
Convert susp_768...done	6.1015 mins
Convert susp_173...done	3.7885 mins
Convert susp_340...done	2.81 mins
Convert susp_789...done	2.6795 mins
Convert susp_570...done	4.951833333333334 mins
